"date","cc_ce","ic_ce","cc_ce_hat","ic_ce_hat","cc_gap","ic_gap"
1994-01-01,0.0255393091307724,0.0169281809857054,0.0261248377738945,0.0141899755048947,-0.000585528643122064,0.00273820548081066
1994-02-01,0.0263206822954244,0.0131391337940274,0.0250683913177185,0.0124701785805769,0.0012522909777059,0.000668955213450501
1994-03-01,0.025962513655415,0.0126584337771728,0.02461569605797,0.0148817980649264,0.00134681759744507,-0.00222336428775366
1994-04-01,0.0256651559962901,0.016130990394511,0.0225131996489545,0.0137329346382118,0.00315195634733552,0.00239805575629923
1994-05-01,0.0258166184933083,0.0134675012828592,0.0214051526657503,0.0111028836467567,0.00441146582755796,0.00236461763610253
1994-06-01,0.0255094731820175,0.0127547365910087,0.0245293667182413,0.0121417417698433,0.000980106463776116,0.0006129948211654
1994-07-01,0.0247855411389286,0.0159452778194867,0.0255368804008186,0.0132061378964717,-0.000751339261889961,0.00273913992301505
1994-08-01,0.0246727779234898,0.012534423534313,0.0256760624774584,0.0135227348427605,-0.0010032845539686,-0.000988311308447501
1994-09-01,0.0245027011729313,0.0123107609582361,0.0201189576055939,0.0100212582216687,0.00438374356733742,0.00228950273656742
1994-10-01,0.0238374541228562,0.0154378539327123,0.0216621313796647,0.0120062930186047,0.00217532274319158,0.00343156091410753
1994-11-01,0.0234508132100244,0.0121502485661179,0.0237821874753653,0.012957712057426,-0.000331374265340897,-0.000807463491308148
1994-12-01,0.0234188632423772,0.0149655500631452,0.0258185998403709,0.0147974282590557,-0.00239973659799372,0.000168121804089481
1995-01-01,0.0230962407620897,0.0122628398712946,0.0259776608706273,0.0148448826969291,-0.00288142010853754,-0.00258204282563449
1995-02-01,0.0231881660984562,0.0124191129431177,0.0220613294862665,0.0122379371567982,0.00112683661218976,0.000181175786319453
1995-03-01,0.023268600767777,0.0125110382794842,0.0206632354311741,0.0139914375957878,0.0026053653366029,-0.00148039931630358
1995-04-01,0.0229775230957898,0.0159695335955894,0.0213808721499569,0.0143016480050222,0.0015966509458329,0.00166788559056721
1995-05-01,0.0234663677563972,0.0135070698201416,0.0204660958822535,0.0113563961632488,0.00300027187414372,0.00215067365689274
1995-06-01,0.0237741757283282,0.0133611460408558,0.020987217719056,0.0113778084845103,0.00278695800927216,0.00198333755634542
1995-07-01,0.0237275008166619,0.016799591664077,0.0235743813373958,0.0129730842644591,0.000153119479266054,0.0038265073996179
1995-08-01,0.0235868257222212,0.0128914475612869,0.0221329518770671,0.0123274776683187,0.00145387384515411,0.000563969892968219
1995-09-01,0.0237636873361322,0.0163744000603012,0.0188838336478458,0.00995310855606048,0.00487985368828638,0.00642129150424073
1995-10-01,0.0238983896734262,0.0133344624254994,0.0245360694884732,0.013969453028,-0.000637679815047001,-0.000634990602500598
